Bin_ID	Adherence	Antimicrobial	Biofilm	EDS	Exoenzyme	Exotoxin	Immune Mod.	Invasion	Motility	Nutri/Metab	Others	PTM	Regulation	Stress Survival	Total_VFs	Taxonomy	Full_Taxonomy	MAG_ID	Taxonomy_Label
binning_output.158	9	3	4	13	0	2	10	1	7	27	0	0	3	2	79	Unclassified Bacteria (D)	Unclassified Bacteria	S1-158	Unclassified Bacteria (D) S1-158
binning_output.176	16	4	10	6	2	1	16	0	12	11	1	0	0	2	79	Pseudomonadales(O)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__	S1-176	Pseudomonadales(O) S1-176
binning_output.179	8	17	6	2	0	1	9	0	19	16	0	0	0	1	78	Unclassified Bacteria (D)	Unclassified Bacteria	S1-179	Unclassified Bacteria (D) S1-179
binning_output.231	13	1	7	3	1	2	9	0	19	14	0	0	5	3	74	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-231	Rhodocyclaceae(F) S1-231
binning_output.201	15	3	7	6	0	0	15	0	7	17	1	0	2	2	73	Propionivibrio(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__	S1-201	Propionivibrio(G) S1-201
binning_output.184	3	0	1	4	1	1	44	0	6	9	0	0	3	2	72	Fusobacteriota(P)	d__Bacteria;p__Fusobacteriota;c__;o__;f__;g__;s__	S1-184	Fusobacteriota(P) S1-184
binning_output.203	10	1	3	6	2	3	18	0	6	19	0	0	2	4	70	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-203	Rhodocyclaceae(F) S1-203
binning_output.182	10	6	4	3	0	2	14	2	8	16	1	0	3	5	69	Polaromonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	S1-182	Polaromonas(G) S1-182
binning_output.162	11	1	2	8	0	0	20	1	6	18	0	0	2	0	69	Tolumonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__	S1-162	Tolumonas(G) S1-162
binning_output.214	6	2	3	8	0	3	11	1	6	25	1	0	2	1	68	Unclassified Bacteria (D)	Unclassified Bacteria	S1-214	Unclassified Bacteria (D) S1-214
binning_output.211	10	3	1	4	0	0	22	0	12	10	0	2	1	3	65	Thiomicrospiraceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__;s__	S1-211	Thiomicrospiraceae(F) S1-211
binning_output.023	14	4	0	11	0	0	3	0	13	16	1	1	1	1	64	Aeromonas media(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media	S1-023	Aeromonas media(S) S1-023
binning_output.245	15	2	1	6	0	1	12	2	6	15	2	0	2	1	64	Enterobacteriaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__;s__	S1-245	Enterobacteriaceae(F) S1-245
binning_output.147	6	1	5	3	0	0	13	0	19	12	0	0	5	2	64	Thiopseudomonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas;s__	S1-147	Thiopseudomonas(G) S1-147
binning_output.094	8	6	6	11	1	0	13	0	5	14	0	0	0	5	64	Hydrogenophaga(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	S1-094	Hydrogenophaga(G) S1-094
binning_output.114	12	1	4	10	0	1	26	0	4	2	0	0	3	1	63	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-114	Acinetobacter(G) S1-114
binning_output.083	10	2	7	10	0	0	13	1	3	13	1	0	2	4	62	Gammaproteobacteria(C)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	S1-083	Gammaproteobacteria(C) S1-083
binning_output.133	9	0	2	5	3	1	21	0	12	4	1	0	3	1	61	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-133	Pararheinheimera(G) S1-133
binning_output.120	2	0	2	9	0	4	32	1	3	1	2	2	3	0	61	UBA7396(G)	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__UBA7396;s__	S1-120	UBA7396(G) S1-120
binning_output.142	11	1	1	4	0	1	13	3	12	13	0	0	1	1	60	UBA2334(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2334;s__	S1-142	UBA2334(G) S1-142
binning_output.151	6	1	2	5	1	2	16	1	5	17	0	2	1	3	59	Burkholderiaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	S1-151	Burkholderiaceae(F) S1-151
binning_output.243	6	1	4	4	0	6	12	0	6	16	0	0	4	0	59	Burkholderiaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	S1-243	Burkholderiaceae(F) S1-243
binning_output.148	4	4	6	5	1	2	12	0	6	13	1	0	4	2	58	Shewanella(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__	S1-148	Shewanella(G) S1-148
binning_output.168	11	1	3	6	0	1	16	0	17	1	0	0	0	0	56	JAGOXX01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__JAGOXX01;s__	S1-168	JAGOXX01(G) S1-168
binning_output.154	10	0	1	6	1	2	13	1	9	9	0	0	3	1	55	Tolumonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__	S1-154	Tolumonas(G) S1-154
binning_output.240	17	0	4	7	0	0	8	0	10	9	0	0	0	4	55	UBA9145(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__	S1-240	UBA9145(G) S1-240
binning_output.173	7	6	1	2	1	2	9	1	15	9	1	0	1	2	55	Rhodoferax(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	S1-173	Rhodoferax(G) S1-173
binning_output.089	4	1	1	7	0	0	11	0	11	17	0	0	2	1	54	Kluyvera intermedia_A(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera intermedia_A	S1-089	Kluyvera intermedia_A(S) S1-089
binning_output.259	10	0	1	7	0	1	20	1	6	6	0	0	1	1	53	Pseudomonadota(P)	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	S1-259	Pseudomonadota(P) S1-259
binning_output.268	4	1	1	4	0	4	18	0	2	17	0	0	1	1	52	Roseovarius(G)	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	S1-268	Roseovarius(G) S1-268
binning_output.174	16	1	3	8	0	1	7	0	10	6	0	0	0	1	52	Stutzerimonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__	S1-174	Stutzerimonas(G) S1-174
binning_output.273	12	5	3	4	0	0	9	1	4	12	0	0	1	1	51	Rheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Rheinheimera;s__	S1-273	Rheinheimera(G) S1-273
binning_output.164	5	0	2	4	0	0	25	1	6	2	1	1	4	0	51	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-164	Aliarcobacter(G) S1-164
binning_output.248	10	0	3	6	0	1	6	1	4	14	0	0	5	5	50	Polynucleobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__	S1-248	Polynucleobacter(G) S1-248
binning_output.258	11	0	6	1	1	1	10	0	9	8	0	1	2	2	50	Cellvibrio(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__	S1-258	Cellvibrio(G) S1-258
binning_output.227	5	1	3	7	0	1	24	0	3	5	0	0	1	1	50	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-227	Acinetobacter(G) S1-227
binning_output.209	6	2	1	5	0	1	21	0	2	6	0	0	4	0	48	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-209	Acinetobacter(G) S1-209
binning_output.078	4	1	4	6	1	1	4	1	13	11	1	0	1	1	48	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-078	Pararheinheimera(G) S1-078
binning_output.187	13	1	0	2	1	2	23	1	3	2	0	0	0	1	48	Aurantibacter(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aurantibacter;s__	S1-187	Aurantibacter(G) S1-187
binning_output.172	8	0	4	2	2	1	8	0	16	2	0	0	4	2	47	Thiopseudomonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas;s__	S1-172	Thiopseudomonas(G) S1-172
binning_output.131	8	0	2	4	0	2	3	0	11	13	1	0	2	2	46	Unclassified Bacteria (D)	Unclassified Bacteria	S1-131	Unclassified Bacteria (D) S1-131
binning_output.194	8	4	1	7	0	0	3	0	2	16	0	0	4	0	45	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-194	Comamonas(G) S1-194
binning_output.180	8	1	2	4	0	1	17	0	10	2	0	0	0	0	45	Pseudomonadota(P)	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	S1-180	Pseudomonadota(P) S1-180
binning_output.075	8	1	0	6	0	1	7	0	4	14	0	0	4	1	45	Stenotrophomonas koreensis(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas koreensis	S1-075	Stenotrophomonas koreensis(S) S1-075
binning_output.111	8	0	3	10	0	1	20	0	0	2	0	0	1	1	45	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-111	Acinetobacter(G) S1-111
binning_output.064	10	0	2	4	0	0	5	0	15	5	0	0	3	3	44	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-064	Pseudomonas_E(G) S1-064
binning_output.219	8	0	1	5	0	3	17	0	6	1	0	0	2	1	43	Methylotenera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__	S1-219	Methylotenera(G) S1-219
binning_output.138	5	1	0	9	0	0	16	0	3	4	1	1	3	2	43	Prevotella(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	S1-138	Prevotella(G) S1-138
binning_output.253	4	2	0	7	0	3	11	0	6	8	0	0	2	0	43	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-253	Comamonas(G) S1-253
binning_output.113	2	1	1	8	2	1	17	0	4	5	0	0	1	1	42	Polaribacter(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	S1-113	Polaribacter(G) S1-113
binning_output.262	7	3	3	5	1	0	8	0	7	7	0	0	1	2	42	Methylotenera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__	S1-262	Methylotenera(G) S1-262
binning_output.140	5	2	2	4	0	0	7	1	5	13	0	0	3	1	42	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-140	Comamonas(G) S1-140
binning_output.067	9	1	1	10	1	0	9	1	1	7	0	0	1	0	41	Escherichia coli(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	S1-067	Escherichia coli(S) S1-067
binning_output.224	4	1	0	3	0	0	10	1	7	12	1	0	2	1	41	JAOADN01(G)	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAOADN01;s__	S1-224	JAOADN01(G) S1-224
binning_output.122	10	0	1	9	3	0	7	0	11	0	0	0	0	0	41	Aquiluna(G)	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__	S1-122	Aquiluna(G) S1-122
binning_output.044	7	2	2	5	2	1	4	0	12	3	0	0	3	1	41	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-044	Pararheinheimera(G) S1-044
binning_output.097	10	1	1	4	1	0	7	0	9	4	1	0	2	0	40	Thiopseudomonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas;s__	S1-097	Thiopseudomonas(G) S1-097
binning_output.145	3	0	1	4	0	0	19	0	3	7	0	0	3	1	40	Marinarcus(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Marinarcus;s__	S1-145	Marinarcus(G) S1-145
binning_output.082	4	0	2	5	0	0	13	0	2	11	0	1	2	0	40	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-082	Aliarcobacter(G) S1-082
binning_output.222	4	0	0	4	1	4	10	0	4	12	0	0	0	1	39	JAGPKJ01 sp018053995(S)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGPKJ01;s__JAGPKJ01 sp018053995	S1-222	JAGPKJ01 sp018053995(S) S1-222
binning_output.042	2	0	3	0	0	3	14	0	7	5	2	2	1	4	39	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-042	Aliarcobacter(G) S1-042
binning_output.228	10	0	4	4	0	0	5	0	3	12	0	0	0	2	38	Azonexus(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	S1-228	Azonexus(G) S1-228
binning_output.232	6	0	0	6	1	0	6	0	3	12	0	0	4	2	38	Vescimonas sp000435555(S)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	S1-232	Vescimonas sp000435555(S) S1-232
binning_output.015	5	1	1	7	0	1	7	1	9	6	0	0	0	0	38	Aeromonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__	S1-015	Aeromonas(G) S1-015
binning_output.150	4	2	2	3	1	1	12	0	7	4	0	0	2	3	38	Unclassified Bacteria (D)	Unclassified Bacteria	S1-150	Unclassified Bacteria (D) S1-150
binning_output.264	6	0	2	1	0	3	7	0	7	9	0	0	2	5	37	Lachnospira(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	S1-264	Lachnospira(G) S1-264
binning_output.233	13	1	2	2	0	0	6	0	8	3	0	0	1	2	36	Fluviibacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__	S1-233	Fluviibacter(G) S1-233
binning_output.080	3	0	0	1	0	4	17	0	3	5	0	1	2	0	36	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-080	Aliarcobacter(G) S1-080
binning_output.238	4	0	1	4	2	0	15	0	0	8	0	0	1	1	35	Paludibacter(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	S1-238	Paludibacter(G) S1-238
binning_output.208	5	0	0	1	0	0	7	0	15	3	0	1	3	2	35	Sulfurospirillum(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__	S1-208	Sulfurospirillum(G) S1-208
binning_output.152	7	0	1	6	0	1	12	0	1	6	0	0	1	1	35	Prevotella(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	S1-152	Prevotella(G) S1-152
binning_output.195	5	0	2	4	0	2	9	1	5	5	0	1	1	1	35	Proteocatella(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Proteocatella;s__	S1-195	Proteocatella(G) S1-195
binning_output.149	8	2	1	3	0	1	3	0	12	4	0	0	1	1	35	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-149	Comamonas(G) S1-149
binning_output.091	8	0	0	5	0	1	6	0	4	9	1	0	0	2	34	Limnohabitans_A(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__	S1-091	Limnohabitans_A(G) S1-091
binning_output.115	3	3	0	6	1	0	8	1	3	7	0	0	1	4	33	Giesbergeria(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__	S1-115	Giesbergeria(G) S1-115
binning_output.116	5	3	2	9	1	0	7	0	1	5	0	0	0	0	33	Tolumonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__	S1-116	Tolumonas(G) S1-116
binning_output.204	5	1	3	3	0	1	15	0	1	3	0	1	0	1	33	Bacteroides(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	S1-204	Bacteroides(G) S1-204
binning_output.217	3	0	1	3	0	2	12	0	3	7	0	0	1	2	32	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-217	Flavobacterium(G) S1-217
binning_output.249	6	0	1	4	0	1	4	0	4	10	0	0	2	0	32	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-249	Pararheinheimera(G) S1-249
binning_output.234	3	0	0	5	0	1	11	0	3	7	0	0	2	3	32	Gallintestinimicrobium(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__	S1-234	Gallintestinimicrobium(G) S1-234
binning_output.181	3	0	0	5	1	1	11	0	3	8	0	0	0	2	32	Erythrobacter(G)	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	S1-181	Erythrobacter(G) S1-181
binning_output.269	9	0	0	4	0	0	7	0	2	5	0	0	4	0	31	Pseudohongiellaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__;s__	S1-269	Pseudohongiellaceae(F) S1-269
binning_output.205	7	0	2	6	1	2	9	0	1	3	0	0	0	0	31	Flavobacteriaceae(F)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	S1-205	Flavobacteriaceae(F) S1-205
binning_output.054	3	3	0	4	0	0	3	0	8	7	0	0	3	0	31	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-054	Comamonas(G) S1-054
binning_output.167	12	0	1	4	0	1	10	1	0	0	0	0	1	0	30	Unclassified Bacteria (D)	Unclassified Bacteria	S1-167	Unclassified Bacteria (D) S1-167
binning_output.193	4	2	1	4	1	0	7	0	1	8	0	1	1	1	30	Neisseria suis(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	S1-193	Neisseria suis(S) S1-193
