Bin_ID	Adherence	Antimicrobial Activity/Competitive Advantage	Biofilm	Effector Delivery System	Exoenzyme	Exotoxin	Immune Modulation	Invasion	Motility	Nutritional/Metabolic Factor	Others	Post-Translational Modification	Regulation	Stress Survival	Total_VFs
binning_output.050	3	0	0	1	0	0	4	0	0	1	0	0	0	0	9
binning_output.051	2	1	0	0	0	0	1	0	0	1	0	0	0	0	5
binning_output.052	4	1	0	5	0	2	3	0	4	6	1	0	0	1	27
binning_output.053	1	0	0	0	0	0	2	0	0	2	0	0	0	0	5
binning_output.054	3	3	0	4	0	0	3	0	8	7	0	0	3	0	31
binning_output.055	10	0	0	0	0	0	5	0	1	2	0	0	2	1	21
binning_output.056	2	1	1	1	0	0	7	0	5	3	0	0	0	2	22
binning_output.057	3	0	1	1	0	0	0	0	0	2	0	0	0	0	7
binning_output.058	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
binning_output.059	3	0	0	1	0	1	0	1	0	2	0	0	0	0	8
binning_output.060	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3
binning_output.061	1	0	0	1	1	0	7	0	4	3	0	0	0	0	17
binning_output.062	4	0	0	1	0	0	4	0	4	3	0	0	0	0	16
binning_output.063	3	0	1	4	0	1	16	0	1	3	0	0	0	0	29
binning_output.064	10	0	2	4	0	0	5	0	15	5	0	0	3	3	47
binning_output.065	2	1	2	1	0	0	3	0	3	3	1	0	2	1	19
binning_output.066	2	1	0	2	0	0	4	1	3	4	0	0	0	1	18
binning_output.067	9	1	1	10	1	0	9	1	1	7	0	0	1	0	41
binning_output.068	2	1	1	1	0	0	4	0	2	1	0	0	0	0	12
binning_output.069	4	0	0	1	0	0	3	0	3	3	0	0	0	0	14
binning_output.070	4	1	0	2	0	1	8	0	8	5	0	0	0	1	30
binning_output.071	1	0	0	1	0	0	1	0	0	2	0	0	0	0	5
binning_output.072	1	0	0	1	0	0	1	0	3	1	0	0	0	0	7
binning_output.073	6	0	1	2	1	0	1	0	7	1	0	0	1	0	20
binning_output.074	1	0	1	0	0	0	0	0	0	0	0	0	1	0	3
binning_output.075	8	1	0	6	0	1	7	0	4	14	0	0	4	1	46
binning_output.076	4	0	0	1	0	1	3	0	3	1	0	0	1	0	14
binning_output.077	1	1	0	2	1	2	1	0	0	2	1	0	0	3	14
binning_output.078	4	1	4	6	1	1	4	1	13	11	1	0	1	1	49
binning_output.079	4	2	1	3	0	0	4	0	6	3	1	0	3	1	28
binning_output.080	3	0	0	1	0	4	17	0	3	5	0	1	2	0	36
binning_output.081	1	0	1	1	0	0	2	0	0	0	1	0	0	0	6
binning_output.082	4	0	2	5	0	0	13	0	2	11	0	1	2	0	40
binning_output.083	10	2	7	10	0	0	13	1	3	13	1	0	2	4	66
binning_output.084	1	0	1	3	1	1	4	1	0	2	0	0	0	0	14
binning_output.085	1	0	1	0	0	3	1	1	4	2	0	0	1	0	14
binning_output.086	4	0	0	0	1	0	0	0	0	0	0	0	0	0	5
binning_output.087	4	0	0	2	0	1	3	0	3	0	0	0	0	0	13
binning_output.088	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3
binning_output.089	4	1	1	7	0	0	11	0	11	17	0	0	2	1	55
binning_output.090	0	1	0	3	0	0	4	0	1	3	0	0	2	1	15
binning_output.091	8	0	0	5	0	1	6	0	4	9	1	0	0	2	36
binning_output.092	1	0	0	1	0	0	10	0	2	6	0	0	0	0	20
binning_output.093	0	0	1	0	0	0	3	0	0	0	0	0	0	0	4
binning_output.094	8	6	6	11	1	0	13	0	5	14	0	0	0	5	69
binning_output.095	4	2	2	1	0	1	2	0	7	1	1	0	0	0	21
binning_output.096	5	0	4	1	0	0	7	0	4	1	0	0	4	0	26
binning_output.097	10	1	1	4	1	0	7	0	9	4	1	0	2	0	40
binning_output.098	5	0	0	1	0	2	7	0	7	4	0	0	1	0	27
binning_output.099	5	0	0	2	0	1	4	0	3	2	0	0	1	1	19
binning_output.100	2	1	0	0	0	1	1	0	1	3	0	0	0	0	9
binning_output.101	2	1	1	0	0	0	2	0	0	1	0	0	0	0	7
binning_output.102	38	3	3	25	0	6	9	1	47	28	0	1	3	2	166
binning_output.103	21	4	1	36	1	6	17	0	29	34	2	0	2	3	156
binning_output.104	0	0	0	0	0	0	2	0	3	1	0	0	0	0	6
binning_output.105	1	0	0	0	1	0	2	0	0	0	0	0	0	0	4
binning_output.106	7	1	0	1	0	1	2	0	0	2	0	0	0	0	14
binning_output.107	2	1	2	0	0	0	1	0	0	1	0	0	0	0	7
binning_output.108	3	0	2	1	0	0	3	0	2	7	0	0	0	0	18
binning_output.109	4	0	0	1	0	0	1	0	0	2	0	0	0	0	8
binning_output.110	4	0	1	0	0	3	1	0	6	1	0	0	0	1	17
binning_output.111	8	0	3	10	0	1	20	0	0	2	0	0	1	1	46
binning_output.112	6	0	4	3	0	1	5	0	3	2	2	0	3	0	29
binning_output.113	2	1	1	8	2	1	17	0	4	5	0	0	1	1	43
binning_output.114	12	1	4	10	0	1	26	0	4	2	0	0	3	1	64
binning_output.115	3	3	0	6	1	0	8	1	3	7	0	0	1	4	37
binning_output.116	5	3	2	9	1	0	7	0	1	5	0	0	0	0	33
binning_output.117	1	1	1	2	1	0	3	0	0	0	0	0	1	2	12
binning_output.118	4	0	1	1	0	0	1	0	2	2	0	0	1	0	12
binning_output.119	13	6	3	14	0	2	34	1	9	19	1	0	5	4	111
binning_output.120	2	0	2	9	0	4	32	1	3	1	2	2	3	0	61
binning_output.121	5	0	1	0	1	1	11	0	3	0	0	0	1	0	23
binning_output.122	10	0	1	9	3	0	7	0	11	0	0	0	0	0	41
binning_output.123	1	0	1	2	0	1	1	0	2	1	0	0	0	0	9
binning_output.124	1	0	0	3	0	2	8	1	0	3	0	0	1	0	19
binning_output.125	9	2	0	5	0	4	50	0	7	11	0	1	9	4	102
binning_output.126	1	1	0	0	0	0	6	0	1	1	0	0	0	1	11
binning_output.127	3	0	0	2	1	1	3	0	0	5	0	0	0	2	17
binning_output.128	6	0	3	0	1	0	1	0	3	0	1	0	0	0	15
binning_output.129	3	0	2	3	1	0	0	0	0	1	0	0	0	0	10
binning_output.130	2	0	2	3	2	3	6	0	1	5	0	0	1	0	25
binning_output.131	8	0	2	4	0	2	3	0	11	13	1	0	2	2	48
binning_output.132	35	4	18	22	0	2	38	0	58	35	0	0	9	2	223
binning_output.133	9	0	2	5	3	1	21	0	12	4	1	0	3	1	62
binning_output.134	4	1	1	6	1	1	51	1	10	10	0	3	0	6	95
binning_output.135	1	0	1	1	0	0	2	0	1	2	0	0	0	1	9
binning_output.136	3	0	0	0	0	0	0	0	4	0	0	0	1	2	10
binning_output.137	2	1	4	13	1	2	67	1	12	12	4	3	8	1	131
binning_output.138	5	1	0	9	0	0	16	0	3	4	1	1	3	2	45
binning_output.139	25	1	2	8	0	1	8	1	48	5	1	0	0	1	101
binning_output.140	5	2	2	4	0	0	7	1	5	13	0	0	3	1	43
binning_output.141	7	1	0	1	2	1	2	0	0	7	0	0	2	0	23
binning_output.142	11	1	1	4	0	1	13	3	12	13	0	0	1	1	61
binning_output.143	2	0	0	1	0	0	5	0	4	5	0	0	0	0	17
binning_output.144	7	7	8	9	0	1	19	0	34	6	1	0	2	1	95
binning_output.145	3	0	1	4	0	0	19	0	3	7	0	0	3	1	41
binning_output.146	2	0	0	1	0	1	1	0	1	0	1	0	1	1	9
binning_output.147	6	1	5	3	0	0	13	0	19	12	0	0	5	2	66
binning_output.148	4	4	6	5	1	2	12	0	6	13	1	0	4	2	60
binning_output.149	8	2	1	3	0	1	3	0	12	4	0	0	1	1	36
binning_output.150	4	2	2	3	1	1	12	0	7	4	0	0	2	3	41
binning_output.151	6	1	2	5	1	2	16	1	5	17	0	2	1	3	62
binning_output.152	7	0	1	6	0	1	12	0	1	6	0	0	1	1	36
binning_output.153	4	1	0	2	0	0	7	0	0	6	0	0	0	3	23
binning_output.154	10	0	1	6	1	2	13	1	9	9	0	0	3	1	56
binning_output.155	4	0	0	0	2	0	6	0	1	1	0	0	0	2	16
binning_output.156	11	3	3	8	1	4	42	0	16	11	2	0	1	0	102
binning_output.157	13	2	11	7	2	1	11	0	8	24	0	0	4	1	84
binning_output.158	9	3	4	13	0	2	10	1	7	27	0	0	3	2	81
binning_output.159	14	1	1	18	1	1	42	1	4	3	1	0	1	1	89
binning_output.160	37	5	7	16	0	1	11	0	22	8	0	0	7	1	115
binning_output.161	1	1	0	1	1	1	3	0	0	0	0	0	1	0	9
binning_output.162	11	1	2	8	0	0	20	1	6	18	0	0	2	0	69
binning_output.163	4	2	0	2	1	1	4	0	8	3	1	0	2	0	28
binning_output.164	5	0	2	4	0	0	25	1	6	2	1	1	4	0	51
binning_output.165	1	0	1	2	0	0	0	0	0	2	0	0	2	0	8
binning_output.166	1	1	2	1	0	0	4	0	1	1	0	0	0	0	11
binning_output.167	12	0	1	4	0	1	10	1	0	0	0	0	1	0	30
binning_output.168	11	1	3	6	0	1	16	0	17	1	0	0	0	0	56
binning_output.169	15	4	11	10	0	2	20	0	13	17	0	0	9	3	104
binning_output.170	0	3	1	2	0	1	9	0	0	3	0	0	0	1	20
binning_output.171	32	6	17	38	0	2	25	1	20	32	2	0	18	5	198
binning_output.172	8	0	4	2	2	1	8	0	16	2	0	0	4	2	49
binning_output.173	7	6	1	2	1	2	9	1	15	9	1	0	1	2	57
binning_output.174	16	1	3	8	0	1	7	0	10	6	0	0	0	1	53
binning_output.175	1	0	1	1	0	0	4	0	0	2	1	0	3	0	13
binning_output.176	16	4	10	6	2	1	16	0	12	11	1	0	0	2	81
binning_output.177	3	0	1	3	0	2	5	0	3	7	0	0	1	1	26
binning_output.178	1	1	0	5	0	1	9	0	3	6	0	0	1	1	28
binning_output.179	8	17	6	2	0	1	9	0	19	16	0	0	0	1	79
binning_output.180	8	1	2	4	0	1	17	0	10	2	0	0	0	0	45
binning_output.181	3	0	0	5	1	1	11	0	3	8	0	0	0	2	34
binning_output.182	10	6	4	3	0	2	14	2	8	16	1	0	3	5	74
binning_output.183	2	0	3	1	0	3	4	0	4	7	0	0	2	2	28
binning_output.184	3	0	1	4	1	1	44	0	6	9	0	0	3	2	74
binning_output.185	2	0	0	1	1	0	0	1	4	3	0	0	1	0	13
binning_output.186	17	7	15	10	1	0	23	1	31	27	0	0	1	1	134
binning_output.187	13	1	0	2	1	2	23	1	3	2	0	0	0	1	49
binning_output.188	23	8	12	20	3	1	41	1	25	49	2	0	5	17	207
binning_output.189	38	4	17	34	0	6	20	1	31	61	1	0	22	3	238
binning_output.190	4	1	0	0	0	0	3	0	3	4	0	0	0	0	15
binning_output.191	7	0	0	2	1	0	1	1	0	1	0	0	0	0	13
binning_output.192	4	0	2	2	0	0	4	0	0	3	0	1	0	1	17
binning_output.193	4	2	1	4	1	0	7	0	1	8	0	1	1	1	31
binning_output.194	8	4	1	7	0	0	3	0	2	16	0	0	4	0	45
binning_output.195	5	0	2	4	0	2	9	1	5	5	0	1	1	1	36
binning_output.196	1	0	0	0	0	0	1	0	2	2	0	0	0	0	6
binning_output.197	15	13	1	6	0	0	19	0	13	20	3	0	2	1	93
binning_output.198	2	1	1	2	0	2	4	0	7	5	0	0	2	2	28
binning_output.199	4	0	0	2	0	2	13	0	0	0	0	0	0	0	21
binning_output.200	5	2	1	3	0	0	5	0	1	3	0	0	0	1	21
binning_output.201	15	3	7	6	0	0	15	0	7	17	1	0	2	2	75
binning_output.202	4	0	0	7	0	0	3	0	3	0	0	0	1	0	18
binning_output.203	10	1	3	6	2	3	18	0	6	19	0	0	2	4	74
binning_output.204	5	1	3	3	0	1	15	0	1	3	0	1	0	1	34
binning_output.205	7	0	2	6	1	2	9	0	1	3	0	0	0	0	31
binning_output.206	4	0	0	3	0	0	1	1	7	1	0	0	1	0	18
binning_output.207	2	0	1	0	0	2	4	0	0	7	0	0	0	0	16
binning_output.208	5	0	0	1	0	0	7	0	15	3	0	1	3	2	37
binning_output.209	6	2	1	5	0	1	21	0	2	6	0	0	4	0	48
binning_output.210	4	0	0	2	1	3	1	0	3	3	0	0	1	1	19
binning_output.211	10	3	1	4	0	0	22	0	12	10	0	2	1	3	68
binning_output.212	1	0	1	2	0	1	6	0	1	1	1	0	0	0	14
binning_output.213	25	6	5	8	1	0	21	1	9	12	0	0	5	0	93
binning_output.214	6	2	3	8	0	3	11	1	6	25	1	0	2	1	69
binning_output.215	3	0	0	0	1	1	0	0	0	1	0	0	0	0	6
binning_output.216	5	0	0	0	0	0	0	0	1	1	0	0	0	0	7
binning_output.217	3	0	1	3	0	2	12	0	3	7	0	0	1	2	34
binning_output.218	6	0	0	1	0	1	6	0	5	5	0	0	0	1	25
binning_output.219	8	0	1	5	0	3	17	0	6	1	0	0	2	1	44
binning_output.220	4	1	0	2	0	0	1	0	1	0	0	0	0	1	10
binning_output.221	2	0	0	0	0	0	1	0	1	0	0	0	0	0	4
binning_output.222	4	0	0	4	1	4	10	0	4	12	0	0	0	1	40
binning_output.223	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
binning_output.224	4	1	0	3	0	0	10	1	7	12	1	0	2	1	42
binning_output.225	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3
binning_output.226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.227	5	1	3	7	0	1	24	0	3	5	0	0	1	1	51
binning_output.228	10	0	4	4	0	0	5	0	3	12	0	0	0	2	40
binning_output.230	2	0	0	5	0	0	2	0	1	3	0	0	0	0	13
binning_output.231	13	1	7	3	1	2	9	0	19	14	0	0	5	3	77
binning_output.232	6	0	0	6	1	0	6	0	3	12	0	0	4	2	40
binning_output.233	13	1	2	2	0	0	6	0	8	3	0	0	1	2	38
binning_output.234	3	0	0	5	0	1	11	0	3	7	0	0	2	3	35
binning_output.236	4	2	1	3	0	0	1	0	1	0	0	0	0	0	12
binning_output.237	6	0	1	2	0	0	7	0	4	6	0	0	1	0	27
binning_output.238	4	0	1	4	2	0	15	0	0	8	0	0	1	1	36
binning_output.239	3	0	0	1	1	0	4	0	1	2	1	0	2	1	16
binning_output.240	17	0	4	7	0	0	8	0	10	9	0	0	0	4	59
binning_output.241	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3
binning_output.242	2	0	0	1	1	0	0	0	0	0	0	0	0	0	4
binning_output.243	6	1	4	4	0	6	12	0	6	16	0	0	4	0	59
binning_output.245	15	2	1	6	0	1	12	2	6	15	2	0	2	1	65
binning_output.246	3	1	2	0	0	0	6	0	1	5	0	0	0	2	20
binning_output.247	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
binning_output.248	10	0	3	6	0	1	6	1	4	14	0	0	5	5	55
binning_output.249	6	0	1	4	0	1	4	0	4	10	0	0	2	0	32
binning_output.250	0	0	1	0	1	0	4	0	0	3	0	0	1	0	10
binning_output.251	2	0	0	1	0	0	1	0	0	2	0	0	1	0	7
binning_output.252	4	2	0	4	0	1	9	0	1	4	0	0	0	0	25
binning_output.253	4	2	0	7	0	3	11	0	6	8	0	0	2	0	43
binning_output.254	1	0	0	3	0	1	0	0	0	3	0	0	0	0	8
binning_output.255	13	6	2	14	0	1	15	2	27	48	2	0	4	1	135
binning_output.256	3	1	0	3	0	1	7	1	2	6	1	0	1	0	26
binning_output.257	10	0	0	1	0	0	2	0	3	1	0	0	0	0	17
binning_output.258	11	0	6	1	1	1	10	0	9	8	0	1	2	2	52
binning_output.259	10	0	1	7	0	1	20	1	6	6	0	0	1	1	54
binning_output.260	7	1	0	4	0	0	1	0	4	5	0	0	0	1	23
binning_output.262	7	3	3	5	1	0	8	0	7	7	0	0	1	2	44
binning_output.263	3	1	0	2	0	1	8	0	2	1	1	0	0	0	19
binning_output.264	6	0	2	1	0	3	7	0	7	9	0	0	2	5	42
binning_output.265	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3
binning_output.266	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3
binning_output.268	4	1	1	4	0	4	18	0	2	17	0	0	1	1	53
binning_output.269	9	0	0	4	0	0	7	0	2	5	0	0	4	0	31
binning_output.270	0	0	0	1	0	0	3	0	1	6	0	0	0	2	13
binning_output.271	4	1	0	0	0	1	6	0	5	4	1	0	1	1	24
binning_output.272	2	0	1	0	0	3	7	0	2	8	0	0	2	0	25
binning_output.273	12	5	3	4	0	0	9	1	4	12	0	0	1	1	52
binning_output.274	1	0	0	2	0	2	1	0	3	0	0	0	0	0	9
